Model,Reaction_ID,Reaction_Name,Reaction_Equation,Subsystem,Genes,Gene_Rules,Reversible,FBA_Flux,pFBA_Flux,Flux_Change,Abs_Flux_Change,Percent_Change,Is_Cycling_Candidate
NSD,MAR07601,"","1-alkyl-2-acylglycerophosphoethanolamine [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] + O2 [Cytosol][c] => 2 H2O [Cytosol][c] + NADP+ [Cytosol][c] + O-1-alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine [Cytosol][c]","Glycerophospholipid metabolism",,,0,0.000931466401267912,0.000930534934866644,9.31466401267998e-07,9.31466401267998e-07,0.100000000000009,0
NSD,MAR01317,"NAD Dependent 11-Hydroxythromboxane B2 Dehydrogenase","11-dehydro-thromboxane B2 [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c] <=> NAD+ [Cytosol][c] + thromboxane B2 [Cytosol][c]","Prostaglandin biosynthesis",,,1,0,0,0,0,0,0
NSD,MAR01673,"","7alpha-hydroxycholest-4-en-3-one [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => 7alpha-hydroxy-5beta-cholestan-3-one [Cytosol][c] + NADP+ [Cytosol][c]","Bile acid biosynthesis",Akr1B,Akr1B,0,0,0,0,0,0,0
NSD,MAR01678,"","7alpha-hydroxy-5beta-cholestan-3-one [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c] => 5beta-cholestane-3alpha,7alpha-diol [Cytosol][c] + NAD+ [Cytosol][c]","Bile acid biosynthesis",Akr1B,Akr1B,0,0,0,0,0,0,0
NSD,MAR01681,"","5beta-cholestane-3alpha,7alpha-diol [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] + O2 [Cytosol][c] => 5beta-cholestane-3alpha,7alpha,26-triol [Cytosol][c] + H2O [Cytosol][c] + NADP+ [Cytosol][c]","Bile acid biosynthesis",Cyp12b2,Cyp12b2,0,0,0,0,0,0,0
NSD,MAR01684,"","3alpha,7alpha-dihydroxy-5beta-cholestan-26-al [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c] <=> 5beta-cholestane-3alpha,7alpha,26-triol [Cytosol][c] + NAD+ [Cytosol][c]","Bile acid biosynthesis",Fdh,Fdh,1,0,0,0,0,0,0
NSD,MAR01692,"","3alpha,7alpha-dihydroxy-5beta-cholestan-26-al [Cytosol][c] + H2O [Cytosol][c] + NAD+ [Cytosol][c] <=> 3alpha,7alpha-dihydroxy-5beta-cholestanate [Cytosol][c] + 2 H+ [Cytosol][c] + NADH [Cytosol][c]","Bile acid biosynthesis",Aldh; Aldh-III,Aldh or Aldh-III,1,0,0,0,0,0,0
NSD,MAR01838,"","2 H+ [Cytosol][c] + lithocholate [Cytosol][c] + NADPH [Cytosol][c] + O2 [Cytosol][c] => H2O [Cytosol][c] + hyodeoxycholate [Cytosol][c] + NADP+ [Cytosol][c]","Bile acid biosynthesis",Cyp9f2,Cyp9f2,0,0,0,0,0,0,0
NSD,MAR03992,"","2 ferricytochrome B5 [Cytosol][c] + NADH [Cytosol][c] <=> 2 ferrocytochrome B5 [Cytosol][c] + H+ [Cytosol][c] + NAD+ [Cytosol][c]","Nicotinate and nicotinamide metabolism",CG5946,CG5946,1,0,0,0,0,0,0
NSD,MAR04260,"","ATP [Cytosol][c] + deamido-NAD [Cytosol][c] + glutamine [Cytosol][c] + H2O [Cytosol][c] => AMP [Cytosol][c] + glutamate [Cytosol][c] + H+ [Cytosol][c] + NAD+ [Cytosol][c] + PPi [Cytosol][c]","Nicotinate and nicotinamide metabolism",Nadsyn,Nadsyn,0,0,0,0,0,0,0
NSD,MAR04261,"","ATP [Cytosol][c] + deamido-NAD [Cytosol][c] + NH3 [Cytosol][c] => AMP [Cytosol][c] + NAD+ [Cytosol][c] + PPi [Cytosol][c]","Nicotinate and nicotinamide metabolism",Nadsyn,Nadsyn,0,2.32866600316978,2.32633733716656,0.0023286660032249,0.0023286660032249,0.100000000002367,0
NSD,MAR04269,"","ATP [Cytosol][c] + NAD+ [Cytosol][c] => ADP [Cytosol][c] + H+ [Cytosol][c] + NADP+ [Cytosol][c]","Nicotinate and nicotinamide metabolism",CG33156; CG8080; NADK,CG33156 or CG8080 or NADK,0,1.16433300158489,1.1631686685833,0.00116433300159446,0.00116433300159446,0.100000000000822,0
NSD,MAR04270,"","H2O [Cytosol][c] + NADP+ [Cytosol][c] => NAD+ [Cytosol][c] + Pi [Cytosol][c]","Nicotinate and nicotinamide metabolism",CG1637; CG6656; primo-1; primo-2,CG1637 or CG6656 or primo-1 or primo-2,0,0,0,0,0,0,0
NSD,MAR08349,"","D-glucurono-6,3-lactone [Cytosol][c] + 2 H2O [Cytosol][c] + NAD+ [Cytosol][c] => D-glucarate [Cytosol][c] + 3 H+ [Cytosol][c] + NADH [Cytosol][c]","Ascorbate and aldarate metabolism",Aldh; Aldh-III,Aldh or Aldh-III,0,0,0,0,0,0,0
NSD,MAR06631,"","NAD+ [Cytosol][c] + retinol [Cytosol][c] => H+ [Cytosol][c] + NADH [Cytosol][c] + retinal [Cytosol][c]","Retinol metabolism",CG8888,CG8888,0,0,0,0,0,0,0
NSD,MAR06638,"","11-cis-retinal [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c] <=> 11-cis-retinol [Cytosol][c] + NAD+ [Cytosol][c]","Retinol metabolism",CG8888,CG8888,1,1000,198.362708728131,801.637291271869,801.637291271869,80.1637291271869,1
NSD,MAR06644,"","9-cis-retinal [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c] <=> 9-cis-retinol [Cytosol][c] + NAD+ [Cytosol][c]","Retinol metabolism",CG8888,CG8888,1,0.116433300158519,0.116316866858331,0.000116433300188595,0.000116433300188595,0.100000000025831,0
NSD,MAR06657,"","H+ [Cytosol][c] + NADPH [Cytosol][c] + O2 [Cytosol][c] + retinoate [Cytosol][c] => 18-hydroxy-all-trans-retinoate [Cytosol][c] + H2O [Cytosol][c] + NADP+ [Cytosol][c]","Retinol metabolism",Cyp9f2,Cyp9f2,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR08699,"","13-cis-retinal [Cytosol][c] + H2O [Cytosol][c] + NADP+ [Cytosol][c] <=> 13-cis-retinoate [Cytosol][c] + 2 H+ [Cytosol][c] + NADPH [Cytosol][c]","Retinol metabolism",,,1,-1.39719960190189,-1.39580240229997,-0.00139719960192219,0.00139719960192219,-0.100000000001453,0
NSD,MAR08709,"","11-cis-retinal [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] <=> 11-cis-retinol [Cytosol][c] + NADP+ [Cytosol][c]","Retinol metabolism",CG8888,CG8888,1,-999.301400199049,-197.664807526981,-801.636592672068,801.636592672068,-80.219700734172,1
NSD,MAR04559,"","5-hydroxyindoleacetaldehyde [Cytosol][c] + H2O [Cytosol][c] + NAD+ [Cytosol][c] => 5-hydroxyindoleacetate [Cytosol][c] + 2 H+ [Cytosol][c] + NADH [Cytosol][c]","Serotonin and melatonin biosynthesis",Aldh; Aldh-III,Aldh or Aldh-III,0,0,0,0,0,0,0
NSD,MAR04561,"","5-hydroxyindoleacetaldehyde [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] <=> 5-hydroxytryptophol [Cytosol][c] + NADP+ [Cytosol][c]","Serotonin and melatonin biosynthesis",Fdh,Fdh,1,0,0,0,0,0,0
NSD,MAR08613,"","2 aquacob(III)alamin [Cytosol][c] + NADH [Cytosol][c] => 2 cob(II)alamin [Cytosol][c] + H+ [Cytosol][c] + 2 H2O [Cytosol][c] + NAD+ [Cytosol][c]","Vitamin B12 metabolism",,,0,0.582166500792445,0.581584334291653,0.000582166500792458,0.000582166500792458,0.100000000000002,0
NSD,MAR02129,"","calcidiol [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] + O2 [Cytosol][c] => 23s,25-dihydroxyvitamin D3 [Cytosol][c] + H2O [Cytosol][c] + NADP+ [Cytosol][c]","Vitamin D metabolism",Coq6,Coq6,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR02131,"","23s,25-dihydroxyvitamin D3 [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c] + O2 [Cytosol][c] => 23S,25,26-trihydroxyvitamin D3 [Cytosol][c] + H2O [Cytosol][c] + NAD+ [Cytosol][c]","Vitamin D metabolism",Coq6,Coq6,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR02137,"","calcidiol [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] + O2 [Cytosol][c] => (24R)-24,25-dihydroxycalciol [Cytosol][c] + H2O [Cytosol][c] + NADP+ [Cytosol][c]","Vitamin D metabolism",Cyp49a1,Cyp49a1,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR02138,"","calcidiol [Mitochondria][m] + H+ [Mitochondria][m] + NADPH [Mitochondria][m] + O2 [Mitochondria][m] => (24R)-24,25-dihydroxycalciol [Mitochondria][m] + H2O [Mitochondria][m] + NADP+ [Mitochondria][m]","Vitamin D metabolism",Cyp49a1,Cyp49a1,0,0.232866600316978,0.232633733716661,0.000232866600316989,0.000232866600316989,0.100000000000005,0
NSD,MAR02139,"","(24R)-24,25-dihydroxycalciol [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c] + O2 [Cytosol][c] => calcitetrol [Cytosol][c] + H2O [Cytosol][c] + NAD+ [Cytosol][c]","Vitamin D metabolism",Cyp49a1,Cyp49a1,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR02140,"","(24R)-24,25-dihydroxycalciol [Mitochondria][m] + H+ [Mitochondria][m] + NADH [Mitochondria][m] + O2 [Mitochondria][m] => calcitetrol [Mitochondria][m] + H2O [Mitochondria][m] + NAD+ [Mitochondria][m]","Vitamin D metabolism",Cyp49a1,Cyp49a1,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR02142,"","calcitetrol [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] + O2 [Cytosol][c] => 24-oxo-1alpha,25-dihydroxyvitamin D3 [Cytosol][c] + 2 H2O [Cytosol][c] + NADP+ [Cytosol][c]","Vitamin D metabolism",Coq6,Coq6,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR02143,"","calcitetrol [Mitochondria][m] + H+ [Mitochondria][m] + NADPH [Mitochondria][m] + O2 [Mitochondria][m] => 24-oxo-1alpha,25-dihydroxyvitamin D3 [Mitochondria][m] + 2 H2O [Mitochondria][m] + NADP+ [Mitochondria][m]","Vitamin D metabolism",Coq6,Coq6,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR02144,"","24-oxo-1alpha,25-dihydroxyvitamin D3 [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] + O2 [Cytosol][c] => 24-oxo-1alpha,23,25-trihydroxyvitamin D3 [Cytosol][c] + H2O [Cytosol][c] + NADP+ [Cytosol][c]","Vitamin D metabolism",Coq6,Coq6,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR02145,"","24-oxo-1alpha,25-dihydroxyvitamin D3 [Mitochondria][m] + H+ [Mitochondria][m] + NADPH [Mitochondria][m] + O2 [Mitochondria][m] => 24-oxo-1alpha,23,25-trihydroxyvitamin D3 [Mitochondria][m] + H2O [Mitochondria][m] + NADP+ [Mitochondria][m]","Vitamin D metabolism",Coq6,Coq6,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR06436,"","5-carboxy-alpha-chromanol [Mitochondria][m] + ATP [Mitochondria][m] + CoA [Mitochondria][m] + 2 H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + O2 [Mitochondria][m] => 3-carboxy-alpha-chromanol [Mitochondria][m] + AMP [Mitochondria][m] + 2 H+ [Mitochondria][m] + H2O2 [Mitochondria][m] + NADH [Mitochondria][m] + PPi [Mitochondria][m] + propanoyl-CoA [Mitochondria][m]","Vitamin E metabolism",Echs1; Fatp1; scu; yip2,Echs1 or Fatp1 or scu or yip2,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR06453,"","5-carboxy-gamma-chromanol [Mitochondria][m] + ATP [Mitochondria][m] + CoA [Mitochondria][m] + 2 H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + O2 [Mitochondria][m] => AMP [Mitochondria][m] + gamma-carboxyethyl-hydroxychroman [Mitochondria][m] + 2 H+ [Mitochondria][m] + H2O2 [Mitochondria][m] + NADH [Mitochondria][m] + PPi [Mitochondria][m] + propanoyl-CoA [Mitochondria][m]","Vitamin E metabolism",Echs1; Fatp1; scu; yip2,Echs1 or Fatp1 or scu or yip2,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR06470,"","13-carboxy-gamma-tocopherol [Mitochondria][m] + ATP [Mitochondria][m] + CoA [Mitochondria][m] + 2 H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + O2 [Mitochondria][m] => 11-carboxy-gamma-chromanol [Mitochondria][m] + AMP [Mitochondria][m] + 2 H+ [Mitochondria][m] + H2O2 [Mitochondria][m] + NADH [Mitochondria][m] + PPi [Mitochondria][m] + propanoyl-CoA [Mitochondria][m]","Vitamin E metabolism",,,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR06471,"","11-carboxy-gamma-chromanol [Mitochondria][m] + ATP [Mitochondria][m] + CoA [Mitochondria][m] + 2 H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + O2 [Mitochondria][m] => 9-carboxy-gamma-chromanol [Mitochondria][m] + acetyl-CoA [Mitochondria][m] + AMP [Mitochondria][m] + 2 H+ [Mitochondria][m] + H2O2 [Mitochondria][m] + NADH [Mitochondria][m] + PPi [Mitochondria][m]","Vitamin E metabolism",Echs1; Fatp1; scu; yip2,Echs1 or Fatp1 or scu or yip2,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR06472,"","9-carboxy-gamma-chromanol [Mitochondria][m] + ATP [Mitochondria][m] + CoA [Mitochondria][m] + 2 H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + O2 [Mitochondria][m] => 7-carboxy-gamma-chromanol [Mitochondria][m] + AMP [Mitochondria][m] + 2 H+ [Mitochondria][m] + H2O2 [Mitochondria][m] + NADH [Mitochondria][m] + PPi [Mitochondria][m] + propanoyl-CoA [Mitochondria][m]","Vitamin E metabolism",Echs1; Fatp1; scu; yip2,Echs1 or Fatp1 or scu or yip2,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR06473,"","7-carboxy-gamma-chromanol [Mitochondria][m] + ATP [Mitochondria][m] + CoA [Mitochondria][m] + 2 H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + O2 [Mitochondria][m] => 5-carboxy-gamma-chromanol [Mitochondria][m] + acetyl-CoA [Mitochondria][m] + AMP [Mitochondria][m] + 2 H+ [Mitochondria][m] + H2O2 [Mitochondria][m] + NADH [Mitochondria][m] + PPi [Mitochondria][m]","Vitamin E metabolism",Echs1; Fatp1; scu; yip2,Echs1 or Fatp1 or scu or yip2,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR06482,"","13-carboxy-alpha-tocopherol [Mitochondria][m] + ATP [Mitochondria][m] + CoA [Mitochondria][m] + 2 H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + O2 [Mitochondria][m] => 11-carboxy-alpha-chromanol [Mitochondria][m] + AMP [Mitochondria][m] + 2 H+ [Mitochondria][m] + H2O2 [Mitochondria][m] + NADH [Mitochondria][m] + PPi [Mitochondria][m] + propanoyl-CoA [Mitochondria][m]","Vitamin E metabolism",,,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR06484,"","11-carboxy-alpha-chromanol [Mitochondria][m] + ATP [Mitochondria][m] + CoA [Mitochondria][m] + 2 H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + O2 [Mitochondria][m] => 9-carboxy-alpha-chromanol [Mitochondria][m] + acetyl-CoA [Mitochondria][m] + AMP [Mitochondria][m] + 2 H+ [Mitochondria][m] + H2O2 [Mitochondria][m] + NADH [Mitochondria][m] + PPi [Mitochondria][m]","Vitamin E metabolism",Echs1; Fatp1; scu; yip2,Echs1 or Fatp1 or scu or yip2,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR06486,"","9-carboxy-alpha-chromanol [Mitochondria][m] + ATP [Mitochondria][m] + CoA [Mitochondria][m] + 2 H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + O2 [Mitochondria][m] => 7-carboxy-alpha-chromanol [Mitochondria][m] + AMP [Mitochondria][m] + 2 H+ [Mitochondria][m] + H2O2 [Mitochondria][m] + NADH [Mitochondria][m] + PPi [Mitochondria][m] + propanoyl-CoA [Mitochondria][m]","Vitamin E metabolism",Echs1; Fatp1; scu; yip2,Echs1 or Fatp1 or scu or yip2,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR06488,"","7-carboxy-alpha-chromanol [Mitochondria][m] + ATP [Mitochondria][m] + CoA [Mitochondria][m] + 2 H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + O2 [Mitochondria][m] => 5-carboxy-alpha-chromanol [Mitochondria][m] + acetyl-CoA [Mitochondria][m] + AMP [Mitochondria][m] + 2 H+ [Mitochondria][m] + H2O2 [Mitochondria][m] + NADH [Mitochondria][m] + PPi [Mitochondria][m]","Vitamin E metabolism",,,0,0.116433300158489,0.116316866858331,0.000116433300158494,0.000116433300158494,0.100000000000005,0
NSD,MAR00022,"","[protein]-N6-(lipoyl)lysine [Cytosol][c] + biotin [Cytosol][c] + CoA [Cytosol][c] + cobamide-coenzyme [Mitochondria][m] + cytochrome-C [Mitochondria][m] + FADH2 [Cytosol][c] + L-carnitine [Cytosol][c] + NADH [Cytosol][c] + NADPH [Cytosol][c] + riboflavin [Cytosol][c] + tetrahydrobiopterin [Cytosol][c] + THF [Cytosol][c] + ubiquinol [Mitochondria][m] + 0.1 vitamin A derivatives [Cytosol][c] + 0.1 vitamin D derivatives [Cytosol][c] + 0.1 vitamin E derivatives [Cytosol][c] => cofactors and vitamins [Cytosol][c]","Artificial reactions",,,0,1.16433300158489,1.16316866858331,0.00116433300158492,0.00116433300158492,0.100000000000002,0
NSD,MAR00041,"Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH)","3-decaprenyl-4-hydroxybenzoate [Mitochondria][m] + H+ [Mitochondria][m] + NADH [Mitochondria][m] + O2 [Mitochondria][m] => 3,4-dihydroxy-5-all-trans-decaprenylbenzoate [Mitochondria][m] + H2O [Mitochondria][m] + NAD+ [Mitochondria][m]","Ubiquinone synthesis",,,0,0,0,0,0,0,0
NSD,MAR00144,"Palmitoyl Coenzyme A Desaturase (N-C16:0CoA -> N-C16:1CoA)","H+ [Cytosol][c] + NADH [Cytosol][c] + O2 [Cytosol][c] + palmitoyl-CoA [Cytosol][c] => 2 H2O [Cytosol][c] + NAD+ [Cytosol][c] + palmitoleoyl-CoA [Cytosol][c]","Fatty acid biosynthesis",Desat1,Desat1,0,0,0,0,0,0,0
NSD,MAR00146,"Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA)","H+ [Cytosol][c] + NADH [Cytosol][c] + O2 [Cytosol][c] + stearoyl-CoA [Cytosol][c] => 2 H2O [Cytosol][c] + NAD+ [Cytosol][c] + oleoyl-CoA [Cytosol][c]","Fatty acid biosynthesis",Desat1,Desat1,0,0,0,0,0,0,0
NSD,MAR00147,"Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA)","H+ [Cytosol][c] + NADH [Cytosol][c] + O2 [Cytosol][c] + stearoyl-CoA [Cytosol][c] => 2 H2O [Cytosol][c] + NAD+ [Cytosol][c] + 11-Octadecenoyl Coenzyme A [Cytosol][c]","Fatty acid biosynthesis",Desat1,Desat1,0,0,0,0,0,0,0
NSD,MAR00148,"Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA)","H+ [Cytosol][c] + NADH [Cytosol][c] + O2 [Cytosol][c] + stearoyl-CoA [Cytosol][c] => (2E)-octadecenoyl-CoA [Cytosol][c] + 2 H2O [Cytosol][c] + NAD+ [Cytosol][c]","Fatty acid biosynthesis",Desat1,Desat1,0,0,0,0,0,0,0
NSD,MAR00150,"Fatty Acyl Coenzyme A Desaturase (N-C18:1CoA -> N-C18:2CoA)","H+ [Cytosol][c] + NADH [Cytosol][c] + O2 [Cytosol][c] + 11-Octadecenoyl Coenzyme A [Cytosol][c] => (6Z,9Z)-octadecadienoyl-CoA [Cytosol][c] + 2 H2O [Cytosol][c] + NAD+ [Cytosol][c]","Fatty acid biosynthesis",Cyt-b5-r,Cyt-b5-r,0,0,0,0,0,0,0
NSD,MAR00743,"Fatty-Acyl Coenzyme A Elongation (N-C18:3CoA)","gamma-linolenoyl-CoA [Cytosol][c] + 5 H+ [Cytosol][c] + malonyl-CoA [Cytosol][c] + 4 NADPH [Cytosol][c] + O2 [Cytosol][c] => CO2 [Cytosol][c] + CoA [Cytosol][c] + dihomo-gamma-linolenoyl-CoA [Cytosol][c] + 3 H2O [Cytosol][c] + 4 NADP+ [Cytosol][c]","Fatty acid biosynthesis",Baldspot,Baldspot,0,0,0,0,0,0,0
NSD,MAR00745,"Fatty-Acyl Coenzyme A Elongation (N-C20:4CoA)","(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA [Cytosol][c] + 5 H+ [Cytosol][c] + malonyl-CoA [Cytosol][c] + 4 NADPH [Cytosol][c] + O2 [Cytosol][c] => (8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA [Cytosol][c] + CO2 [Cytosol][c] + CoA [Cytosol][c] + 3 H2O [Cytosol][c] + 4 NADP+ [Cytosol][c]","Fatty acid biosynthesis",Baldspot,Baldspot,0,0,0,0,0,0,0
NSD,MAR00747,"Fatty-Acyl Coenzyme A Elongation (N-C20:4CoA)","arachidonyl-CoA [Cytosol][c] + 5 H+ [Cytosol][c] + malonyl-CoA [Cytosol][c] + 4 NADPH [Cytosol][c] + O2 [Cytosol][c] => (7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA [Cytosol][c] + CO2 [Cytosol][c] + CoA [Cytosol][c] + 3 H2O [Cytosol][c] + 4 NADP+ [Cytosol][c]","Fatty acid biosynthesis",Baldspot,Baldspot,0,0,0,0,0,0,0
NSD,MAR00749,"Fatty-Acyl Coenzyme A Elongation (N-C20:5CoA)","(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA [Cytosol][c] + 5 H+ [Cytosol][c] + malonyl-CoA [Cytosol][c] + 4 NADPH [Cytosol][c] + O2 [Cytosol][c] => (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA [Cytosol][c] + CO2 [Cytosol][c] + CoA [Cytosol][c] + 3 H2O [Cytosol][c] + 4 NADP+ [Cytosol][c]","Fatty acid biosynthesis",Baldspot,Baldspot,0,0,0,0,0,0,0
NSD,MAR00755,"Beta Oxidation of Long Chain Fatty Acid (Odd Chain)","6 CoA [Mitochondria][m] + 6 FAD [Mitochondria][m] + 6 H2O [Mitochondria][m] + 6 NAD+ [Mitochondria][m] + pentadecanoyl-CoA [Mitochondria][m] => 6 acetyl-CoA [Mitochondria][m] + 6 FADH2 [Mitochondria][m] + 6 H+ [Mitochondria][m] + 6 NADH [Mitochondria][m] + propanoyl-CoA [Mitochondria][m]","Fatty acid oxidation",Mcad,Mcad,0,0,0,0,0,0,0
NSD,MAR00772,"Beta Oxidation Fatty Acid","4 CoA [Mitochondria][m] + 3 FAD [Mitochondria][m] + 4 H2O [Mitochondria][m] + 4 NAD+ [Mitochondria][m] + palmitoleoyl-CoA [Mitochondria][m] => 4 acetyl-CoA [Mitochondria][m] + 3 FADH2 [Mitochondria][m] + 4 H+ [Mitochondria][m] + 4 NADH [Mitochondria][m] + octanoyl-CoA [Mitochondria][m]","Fatty acid oxidation",Mcad,Mcad,0,0,0,0,0,0,0
NSD,MAR00818,"Beta Oxidation of Fatty Acid","(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA [Mitochondria][m] + 5 CoA [Mitochondria][m] + FAD [Mitochondria][m] + 5 H2O [Mitochondria][m] + 5 NAD+ [Mitochondria][m] => 5 acetyl-CoA [Mitochondria][m] + FADH2 [Mitochondria][m] + 5 H+ [Mitochondria][m] + 5 NADH [Mitochondria][m] + octanoyl-CoA [Mitochondria][m]","Fatty acid oxidation",Mcad,Mcad,0,0,0,0,0,0,0
NSD,MAR00923,"Beta Oxidation of Fatty Acid","(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA [Mitochondria][m] + CoA [Mitochondria][m] + H2O [Mitochondria][m] + NAD+ [Mitochondria][m] => (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA [Mitochondria][m] + acetyl-CoA [Mitochondria][m] + H+ [Mitochondria][m] + NADH [Mitochondria][m]","Fatty acid oxidation",Mcad,Mcad,0,0,0,0,0,0,0
NSD,MAR00970,"Beta Oxidation of Long Chain Fatty Acid","(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA [Mitochondria][m] + CoA [Mitochondria][m] + H2O [Mitochondria][m] + NAD+ [Mitochondria][m] => (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA [Mitochondria][m] + acetyl-CoA [Mitochondria][m] + H+ [Mitochondria][m] + NADH [Mitochondria][m]","Fatty acid oxidation",Mcad,Mcad,0,0,0,0,0,0,0
NSD,MAR01009,"Beta Oxidation of Med/Long Chain Fatty Acid","3 CoA [Mitochondria][m] + 3 FAD [Mitochondria][m] + 3 H2O [Mitochondria][m] + 3 NAD+ [Mitochondria][m] + octanoyl-CoA [Mitochondria][m] => 4 acetyl-CoA [Mitochondria][m] + 3 FADH2 [Mitochondria][m] + 3 H+ [Mitochondria][m] + 3 NADH [Mitochondria][m]","Fatty acid oxidation",Mcad,Mcad,0,0,0,0,0,0,0
NSD,MAR01036,"Fatty Acyl Coenzyme A Synthase (N-C8:0CoA), Lumped Reaction","acetyl-CoA [Cytosol][c] + 9 H+ [Cytosol][c] + 3 malonyl-CoA [Cytosol][c] + 6 NADPH [Cytosol][c] => 3 CO2 [Cytosol][c] + 3 CoA [Cytosol][c] + 3 H2O [Cytosol][c] + 6 NADP+ [Cytosol][c] + octanoyl-CoA [Cytosol][c]","Fatty acid biosynthesis",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02185," (3R)-3-Hydroxytetradecanoyl-[Acyl-Carrier-Protein]:NADP+ Oxidoreductase Fatty Acid Biosynthesis","HMA [Cytosol][c] + NADP+ [Cytosol][c] => 3-oxotetradecanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c]","Fatty acid biosynthesis",FASN1,FASN1,0,0,-0,0,0,0,0
