"Reaction_ID","Subsystem","Reaction_Formula","Associated_Metabolites","Metabolite_IDs","Associated_Genes","Gene_Rules","FBA_Difference","pFBA_Difference","Sampling_Difference","FBA_Inc","pFBA_Inc","Sampling_Inc","FBA_Dec","pFBA_Dec","Sampling_Dec"
"MAR00150","Fatty acid biosynthesis",NA,"(6Z,9Z)-octadecadienoyl-CoA [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]; 11-Octadecenoyl Coenzyme A [Cytosol]","MAM00106c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]; MAM03791c[c]","Cyt-b5-r","Cyt-b5-r",0,0,0.000717407203551623,0,0,1,0,0,0
"MAR00923","Fatty acid oxidation",NA,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA [Mitochondria]; (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA [Mitochondria]; acetyl-CoA [Mitochondria]; CoA [Mitochondria]; H+ [Mitochondria]; H2O [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM00103m[m]; MAM00108m[m]; MAM01261m[m]; MAM01597m[m]; MAM02039m[m]; MAM02040m[m]; MAM02552m[m]; MAM02553m[m]","Mcad","Mcad",0,0,0.0247508669409982,0,0,1,0,0,0
"MAR00970","Fatty acid oxidation",NA,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA [Mitochondria]; (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA [Mitochondria]; acetyl-CoA [Mitochondria]; CoA [Mitochondria]; H+ [Mitochondria]; H2O [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM00095m[m]; MAM00103m[m]; MAM01261m[m]; MAM01597m[m]; MAM02039m[m]; MAM02040m[m]; MAM02552m[m]; MAM02553m[m]","Mcad","Mcad",0,0,0.0219671399998873,0,0,1,0,0,0
"MAR02188","Miscellaneous",NA,"H+ [Mitochondria]; H2O [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; 3,4-dihydroxymandelaldehyde [Mitochondria]; 3,4-dihydroxymandelate [Mitochondria]","MAM02039m[m]; MAM02040m[m]; MAM02552m[m]; MAM02553m[m]; MAM00726m[m]; MAM00727m[m]","Aldh-III","Aldh-III",22.1555377204132,0,11.1382340386574,1,0,1,0,0,0
"MAR02192","Miscellaneous",NA,"H+ [Mitochondria]; H2O [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; homovanillate [Mitochondria]; 3-methoxy-4-hydroxyphenylacetaldehyde [Mitochondria]","MAM02039m[m]; MAM02040m[m]; MAM02552m[m]; MAM02553m[m]; MAM02137m[m]; MAM00818m[m]","Aldh-III","Aldh-III",1000,0,-490.106123024666,1,0,0,0,0,1
"MAR02196","Miscellaneous",NA,"H+ [Mitochondria]; H2O [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; 3-methoxy-4-hydroxyphenylglycolaldehyde [Mitochondria]; vanillylmandelate [Mitochondria]","MAM02039m[m]; MAM02040m[m]; MAM02552m[m]; MAM02553m[m]; MAM00820m[m]; MAM03136m[m]","Aldh-III","Aldh-III",-999.301400199049,0,12.7939772134461,0,0,1,1,0,0
"MAR02767","Vitamin D metabolism",NA,"(24R)-24,25-dihydroxycalciol [Mitochondria]; 23S,25,26-trihydroxyvitamin D3 [Mitochondria]; H+ [Mitochondria]; H2O [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; O2 [Mitochondria]","MAM00035m[m]; MAM00607m[m]; MAM02039m[m]; MAM02040m[m]; MAM02552m[m]; MAM02553m[m]; MAM02630m[m]","Cyp49a1","Cyp49a1",-0.0463795037949053,-0.0463331242911103,-0.0537687793585635,0,0,0,1,1,1
"MAR20001","Glycine, serine and threonine metabolism",NA,"H+ [Mitochondria]; L-2-amino-3-oxobutanoic acid [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; threonine [Mitochondria]","MAM02039m[m]; MAM02321m[m]; MAM02552m[m]; MAM02553m[m]; MAM02993m[m]","CG5955","CG5955",5.6043037090867,3.48803950689958,2.07404674775204,1,1,1,0,0,0
"MAR00114","Cholesterol metabolism",NA,"CO2 [Endoplasmic reticulum]; H+ [Endoplasmic reticulum]; NAD+ [Endoplasmic reticulum]; NADH [Endoplasmic reticulum]; 4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol [Endoplasmic reticulum]; 3-keto-4-methylzymosterol [Endoplasmic reticulum]","MAM01596r[r]; MAM02039r[r]; MAM02552r[r]; MAM02553r[r]; MAM00953r[r]; MAM00809r[r]","No genes associated","No rule available",0,0,0.00176851748498175,0,0,1,0,0,0
"MAR00118","Cholesterol metabolism",NA,"CO2 [Endoplasmic reticulum]; H+ [Endoplasmic reticulum]; NAD+ [Endoplasmic reticulum]; NADH [Endoplasmic reticulum]; O2 [Endoplasmic reticulum]; Zymosterol Intermediate 2 [Endoplasmic reticulum]; 3-keto-4-methylzymosterol [Endoplasmic reticulum]","MAM01596r[r]; MAM02039r[r]; MAM02552r[r]; MAM02553r[r]; MAM02630r[r]; MAM04082r[r]; MAM00809r[r]","No genes associated","No rule available",0,0,0.00176851749708268,0,0,1,0,0,0
"MAR04497","Propanoate metabolism",NA,"3-oxopropanoate [Mitochondria]; H+ [Mitochondria]; hydracrylate [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM00900m[m]; MAM02039m[m]; MAM02142m[m]; MAM02552m[m]; MAM02553m[m]","No genes associated","No rule available",-0.278277022769432,-0.277998745746662,-3.85533099702289,0,0,0,1,1,1
"MAR06981","Lysine metabolism",NA,"4-trimethylammoniobutanal [Cytosol]; gamma-butyrobetaine [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01034c[c]; MAM01922c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]","No genes associated","No rule available",0,0,0.000747130337459545,0,0,1,0,0,0
"MAR08615","Vitamin B12 metabolism",NA,"H+ [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; cob(I)alamin [Mitochondria]; cob(II)alamin [Mitochondria]","MAM02039m[m]; MAM02552m[m]; MAM02553m[m]; MAM01598m[m]; MAM01599m[m]","No genes associated","No rule available",-0.463795037949012,-0.463331242911103,-0.537687793574484,0,0,0,1,1,1
"MAR20017","Alanine, aspartate and glutamate metabolism",NA,"AKG [Cytosol]; glutamate [Cytosol]; glutamine [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01306c[c]; MAM01974c[c]; MAM01975c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]","GS","GS",-179.014421326085,-428.868653537289,-221.181444385771,0,0,0,1,1,1
"MAR04332","Folate metabolism",NA,"dihydrofolate [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; THF [Cytosol]","MAM01700c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]; MAM02980c[c]","Dhfr","Dhfr",-51.4426100243543,-41.0856282445275,-42.9804035311626,0,0,0,1,1,1
"MAR01131","Leukotriene metabolism",NA,"20-oxo-LTB4 [Endoplasmic reticulum]; H+ [Endoplasmic reticulum]; NAD+ [Endoplasmic reticulum]; NADH [Endoplasmic reticulum]; 20-OH-LTB4 [Endoplasmic reticulum]","MAM00600r[r]; MAM02039r[r]; MAM02552r[r]; MAM02553r[r]; MAM00599r[r]","Fdh","Fdh",-0.023189751897462,-0.0231665621455552,-0.0251554582690279,0,0,0,1,1,1
"MAR08758","Folate metabolism",NA,"CO2 [Cytosol]; formate [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01596c[c]; MAM01833c[c]; MAM02552c[c]; MAM02553c[c]","CG8665","CG8665",0,0,128.635383091944,0,0,1,0,0,0
"MAR00149","Fatty acid biosynthesis",NA,"(6Z,9Z)-octadecadienoyl-CoA [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]; oleoyl-CoA [Cytosol]","MAM00106c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]; MAM02647c[c]","Cyt-b5-r","Cyt-b5-r",0,0,0.0130586847084766,0,0,1,0,0,0
"MAR03059","Beta oxidation of even-chain fatty acids (peroxisomal)",NA,"H+ [Peroxisome]; NAD+ [Peroxisome]; NADH [Peroxisome]; 3-hydroxyhexacosanoyl-CoA [Peroxisome]; 3-oxohexacosanoyl-CoA [Peroxisome]","MAM02039p[p]; MAM02552p[p]; MAM02553p[p]; MAM00783p[p]; MAM00878p[p]","Mfe2","Mfe2",0,0,-0.00143080649361416,0,0,0,0,0,1
"MAR03242","Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)",NA,"H+ [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; 3(S)-hydroxy-13-cis-eicosenoyl-CoA [Mitochondria]; 3-oxo-13-cis-eicosenoyl-CoA [Mitochondria]","MAM02039m[m]; MAM02552m[m]; MAM02553m[m]; MAM00702m[m]; MAM00843m[m]","Mtpα; scu","Mtpα and scu",0,0,0.0655308020166558,0,0,1,0,0,0
"MAR03246","Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)",NA,"H+ [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; (S)-3-hydroxy-11-cis-octadecenoyl-CoA [Mitochondria]; 3-oxo-11-cis-octadecenoyl-CoA [Mitochondria]","MAM02039m[m]; MAM02552m[m]; MAM02553m[m]; MAM00170m[m]; MAM00841m[m]","Mtpα; scu","Mtpα and scu",0,0,0.0655308020143779,0,0,1,0,0,0
"MAR00151","Fatty acid biosynthesis",NA,"(2E)-octadecenoyl-CoA [Cytosol]; (6Z,9Z)-octadecadienoyl-CoA [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]","MAM00057c[c]; MAM00106c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]","Cyt-b5-r","Cyt-b5-r",0,0,0.00271334505374909,0,0,1,0,0,0
"MAR00181","Fatty acid biosynthesis",NA,"arachidonyl-CoA [Cytosol]; dihomo-gamma-linolenoyl-CoA [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]","MAM01364c[c]; MAM01697c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]","Cyt-b5-r","Cyt-b5-r",0,0,0.0734334235391181,0,0,1,0,0,0
"MAR00186","Fatty acid biosynthesis",NA,"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA [Cytosol]; (8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]","MAM00103c[c]; MAM00125c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]","Cyt-b5-r","Cyt-b5-r",0,0,0.000528391922184818,0,0,1,0,0,0
"MAR00152","Fatty acid biosynthesis",NA,"gamma-linolenoyl-CoA [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; linoleoyl-CoA [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]","MAM01934c[c]; MAM02039c[c]; MAM02040c[c]; MAM02391c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]","Cyt-b5-r","Cyt-b5-r",0,0,0.000989968359181415,0,0,1,0,0,0
"MAR03238","Sphingolipid metabolism",NA,"ceramide pool [Cytosol]; dihydroceramide pool [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]","MAM01430c[c]; MAM01699c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]","No genes associated","No rule available",0,0,0.00105332876328879,0,0,1,0,0,0
"MAR08442","Glycine, serine and threonine metabolism",NA,"2-oxobutyrate [Cytosol]; CO2 [Cytosol]; CoA [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; propanoyl-CoA [Cytosol]","MAM00671c[c]; MAM01596c[c]; MAM01597c[c]; MAM02552c[c]; MAM02553c[c]; MAM02774c[c]","No genes associated","No rule available",0,0,0.00888900939305515,0,0,1,0,0,0
"MAR04654","Folate metabolism",NA,"dihydrofolate [Cytosol]; folate [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01700c[c]; MAM01830c[c]; MAM02552c[c]; MAM02553c[c]","Dhfr","Dhfr",-51.1643330015849,-40.8076294987809,-42.6543558197965,0,0,0,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
