Reaction ID	Equation	Genes	C/P	Subsystem	Compartment
MAR06631	NAD+ [c] + retinol [c] ⇒ H+ [c] + NADH [c] + retinal [c]	CG8888; Fdh; CG9265; T3dh	consume	Retinol metabolism	Cytosol
MAR06638	11-cis-retinal [c] + H+ [c] + NADH [c] ⇔ 11-cis-retinol [c] + NAD+ [c]	Dhrs4; Cralbp; CG9265; CG10657; CG8888	consume/produce	Retinol metabolism	Cytosol
MAR06644	9-cis-retinal [c] + H+ [c] + NADH [c] ⇔ 9-cis-retinol [c] + NAD+ [c]	CG9265; CG10657; CG8888; Dhrs4; Cralbp	consume/produce	Retinol metabolism	Cytosol
MAR06646	H2O [c] + NAD+ [c] + retinal [c] ⇒ 2 H+ [c] + NADH [c] + retinoate [c]	CG31075	consume	Retinol metabolism	Cytosol
MAR06675	13-cis-retinal [c] + H2O [c] + NAD+ [c] ⇔ 13-cis-retinoate [c] + 2 H+ [c] + NADH [c]	CG31075	consume/produce	Retinol metabolism	Cytosol
MAR06714	H2O [c] + NAD+ [c] + indole-3-acetaldehyde [c] ⇒ 2 H+ [c] + NADH [c] + indoleacetate [c]	Aldh7A1; Aldh-III; Aldh	consume	Phenylalanine, tyrosine and tryptophan biosynthesis	Cytosol
MAR06721	3-hydroxykynurenine-O-beta-D-glucoside [c] + NADH [c] ⇒ 4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid-O-glucoside [c] + NAD+ [c] + NH3 [c]		produce	Phenylalanine, tyrosine and tryptophan biosynthesis	Cytosol
MAR06748	3-methoxy-4-hydroxyphenylglycolaldehyde [c] + H2O [c] + NAD+ [c] ⇒ 2 H+ [c] + NADH [c] + vanillylmandelate [c]	Aldh-III	consume	Phenylalanine, tyrosine and tryptophan biosynthesis	Cytosol
MAR06753	3,4-dihydroxymandelaldehyde [c] + H2O [c] + NAD+ [c] ⇒ 3,4-dihydroxymandelate [c] + 2 H+ [c] + NADH [c]	Aldh-III	consume	Phenylalanine, tyrosine and tryptophan biosynthesis	Cytosol
MAR06756	3,4-dihydroxymandelaldehyde [c] + H+ [c] + NADH [c] ⇔ 3,4-dihydroxyphenylethyleneglycol [c] + NAD+ [c]	Fdh; T3dh	consume/produce	Phenylalanine, tyrosine and tryptophan biosynthesis	Cytosol
MAR06760	3,4-dihydroxyphenylacetaldehyde [c] + H2O [c] + NAD+ [c] ⇒ 3,4-dihydroxyphenylacetate [c] + 2 H+ [c] + NADH [c]	Aldh-III	consume	Phenylalanine, tyrosine and tryptophan biosynthesis	Cytosol
MAR06766	3-methoxy-4-hydroxyphenylacetaldehyde [c] + H2O [c] + NAD+ [c] ⇒ 2 H+ [c] + NADH [c] + homovanillate [c]	Aldh-III	consume	Phenylalanine, tyrosine and tryptophan biosynthesis	Cytosol
MAR06782	4-hydroxyphenylpyruvate [c] + H+ [c] + NADH [c] ⇒ 4-hydroxyphenyllactate [c] + NAD+ [c]		produce	Phenylalanine, tyrosine and tryptophan biosynthesis	Cytosol
MAR06785	4-coumaroyl-CoA [c] + CoA [c] + H2O [c] + NAD+ [c] ⇒ 4-hydroxybenzoyl-CoA [c] + H+ [c] + NADH [c] + acetyl-CoA [c]		consume	Phenylalanine, tyrosine and tryptophan biosynthesis	Cytosol
MAR06790	4-hydroxyphenylacetaldehyde [c] + H2O [c] + NAD+ [c] ⇒ 4-hydroxyphenylacetate [c] + 2 H+ [c] + NADH [c]	Aldh-III	consume	Phenylalanine, tyrosine and tryptophan biosynthesis	Cytosol
MAR06925	4-methyl-2-oxopentanoate [c] + H+ [c] + NADH [c] ⇔ NAD+ [c] + alpha-hydroxyisocaproic acid [c]	CG8888; Wwox; CG30491; Dhrs4; CG3842; CG3603; CG12171; CG6083; Fdh; CtBP; CG7675; CG31549; CG15629; CG31548; CG9265; CG7724; Akr1B; CG3699; CG31546	consume/produce	Valine, leucine, and isoleucine metabolism	Cytosol
MAR06953	H2O [c] + NAD+ [c] + spermidine monoaldehyde 1 [c] ⇒ 2 H+ [c] + NADH [c] + putreanine [c]	CG5065	consume	Arginine and proline metabolism	Cytosol
MAR06954	H2O [c] + NAD+ [c] + spermidine monoaldehyde 2 [c] ⇒ 2 H+ [c] + NADH [c] + isoputreanine [c]	CG5065	consume	Arginine and proline metabolism	Cytosol
MAR06965	H+ [c] + NADH [c] + dehydrospermidine [c] ⇔ NAD+ [c] + spermidine [c]	Dhps	consume/produce	Arginine and proline metabolism	Cytosol
MAR06973	2 H+ [c] + NADH [c] + spermic acid 1 [c] ⇔ H2O [c] + NAD+ [c] + spermine monoaldehyde [c]	CG5065	consume/produce	Arginine and proline metabolism	Cytosol
MAR06981	4-trimethylammoniobutanal [c] + H2O [c] + NAD+ [c] ⇒ 2 H+ [c] + NADH [c] + gamma-butyrobetaine [c]		consume	Lysine metabolism	Cytosol
MAR07035	NAD+ [c] + chloral hydrate [c] ⇒ 2 H+ [c] + NADH [c] + trichloroacetate [c]	Aldh-III	consume	Xenobiotics metabolism	Cytosol
MAR07038	H+ [c] + NADH [c] + chloral hydrate [c] ⇒ H2O [c] + NAD+ [c] + trichloroethanol [c]	T3dh; Fdh	produce	Xenobiotics metabolism	Cytosol
MAR07623	NAD+ [c] + [protein]-L-arginine [c] ⇒ H+ [c] + [protein]-omega-N-(ADP-D-ribosyl)-L-arginine [c] + nicotinamide [c]	Sirt6	consume	Nicotinate and nicotinamide metabolism	Cytosol
MAR07625	H2O [c] + NAD+ [c] + [protein]-L-arginine [c] ⇒ H+ [c] + N(omega)-(ADP-D-ribosyl)-L-arginine [c] + [protein] [c] + nicotinamide [c]	Sirt6	consume	Nicotinate and nicotinamide metabolism	Cytosol
MAR07771	NAD+ [x] ⇒ NAD+ [c]		produce	Transport reactions	Peroxisome ⇒ Cytosol
MAR07772	NAD+ [r] ⇒ NAD+ [c]		produce	Transport reactions	Endoplasmic reticulum ⇒ Cytosol
MAR07773	NAD+ [c] ⇔ NAD+ [n]		consume/produce	Transport reactions	Cytosol ⇔ Nucleus
MAR07774	NAD+ [c] ⇒ NAD+ [e]		consume	Transport reactions	Cytosol ⇒ Extracellular
MAR07930	NAD+ [c] + pregnenolone [c] ⇒ H+ [c] + NADH [c] + progesterone [c]	CG7724	consume	Steroid metabolism	Cytosol
MAR07973	17alpha-hydroxypregnenolone [c] + NAD+ [c] ⇒ 17alpha-hydroxyprogesterone [c] + H+ [c] + NADH [c]	CG7724	consume	Steroid metabolism	Cytosol
MAR07993	3-amino-propanal [c] + H2O [c] + NAD+ [c] ⇒ 2 H+ [c] + NADH [c] + beta-alanine [c]	Aldh; Aldh-III; Aldh7A1	consume	Beta-alanine metabolism	Cytosol
MAR08068	(S)-3-sulfolactate [c] + NAD+ [c] ⇔ 3-sulfopyruvate [c] + H+ [c] + NADH [c]	Mdh1	consume/produce	Cysteine and methionine metabolism	Cytosol
MAR08144	5,10-methenyl-THF [c] + NADH [c] ⇔ 5,10-methylene-THF [c] + NAD+ [c]	pug	consume/produce	Folate metabolism	Cytosol
MAR08342	H+ [c] + L-xylulose [c] + NADH [c] ⇔ L-arabitol [c] + NAD+ [c]		consume/produce	Pentose and glucuronate interconversions	Cytosol
MAR08349	D-glucurono-6,3-lactone [c] + 2 H2O [c] + NAD+ [c] ⇒ D-glucarate [c] + 3 H+ [c] + NADH [c]	Aldh7A1; Aldh; Aldh-III	consume	Ascorbate and aldarate metabolism	Cytosol
MAR08352	3-dehydro-L-gulonate [c] + H+ [c] + NADH [c] ⇔ L-gulonate [c] + NAD+ [c]	Had1; Had2	consume/produce	Pentose and glucuronate interconversions	Cytosol
MAR08442	2-oxobutyrate [c] + CoA [c] + NAD+ [c] ⇒ CO2 [c] + NADH [c] + propanoyl-CoA [c]		consume	Glycine, serine and threonine metabolism	Cytosol
MAR08502	(R)-S-lactoylglutathione [c] + H+ [c] + NADH [c] ⇔ D-lactaldehyde [c] + GSH [c] + NAD+ [c]	Fdh; T3dh	consume/produce	Pyruvate metabolism	Cytosol
MAR08503	H2O [c] + NAD+ [c] + lactaldehyde [c] ⇒ 2 H+ [c] + L-lactate [c] + NADH [c]	Aldh-III; Aldh7A1	consume	Pyruvate metabolism	Cytosol
MAR08504	D-lactaldehyde [c] + H2O [c] + NAD+ [c] ⇒ D-lactate [c] + 2 H+ [c] + NADH [c]	Aldh7A1; Aldh-III; Aldh	consume	Pyruvate metabolism	Cytosol
MAR08507	NAD+ [c] + propane-1,2-diol [c] ⇒ D-lactaldehyde [c] + H+ [c] + NADH [c]	T3dh; Fdh	consume	Pyruvate metabolism	Cytosol
MAR08508	NAD+ [c] + propane-1,2-diol [c] ⇒ H+ [c] + NADH [c] + lactaldehyde [c]	Fdh; T3dh	consume	Pyruvate metabolism	Cytosol
MAR08530	GSH [c] + NAD+ [c] + formaldehyde [c] ⇔ H+ [c] + NADH [c] + formylglutathione [c]	Fdh; T3dh	consume/produce	Tyrosine metabolism	Cytosol
MAR08605	H2O [c] + N4-acetylaminobutanal [c] + NAD+ [c] ⇒ 4-acetamidobutanoate [c] + 2 H+ [c] + NADH [c]	Aldh-III; Aldh7A1; Aldh	consume	Arginine and proline metabolism	Cytosol
MAR08613	NADH [c] + 2 aquacob(III)alamin [c] ⇒ H+ [c] + 2 H2O [c] + NAD+ [c] + 2 cob(II)alamin [c]		produce	Vitamin B12 metabolism	Cytosol
MAR08685	3-mercaptolactate [c] + NAD+ [c] + cysteine [c] ⇒ 3-mercaptolactate-cysteine-disulfide [c] + H+ [c] + NADH [c]		consume	Cysteine and methionine metabolism	Cytosol
MAR08758	NAD+ [c] + formate [c] ⇒ CO2 [c] + NADH [c]	CG8665	consume	Folate metabolism	Cytosol
MAR08775	H2O [c] + NAD+ [c] + glycolaldehyde [c] ⇒ 2 H+ [c] + NADH [c] + glycolate [c]	Aldh7A1; Aldh-III	consume	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Cytosol
MAR08780	H2O [c] + NAD+ [c] + glyoxalate [c] ⇒ 2 H+ [c] + NADH [c] + oxalate [c]	Ldh	consume	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Cytosol
MAR08782	H+ [c] + NADH [c] + hydroxypyruvate [c] ⇒ NAD+ [c] + glycerate [c]	CG1236	produce	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Cytosol
MAR08784	H2O [c] + NAD+ [c] + imidazole-4-acetaldehyde [c] ⇒ 2 H+ [c] + NADH [c] + imidazole-4-acetate [c]	Aldh-III; Aldh; Aldh7A1	consume	Histidine metabolism	Cytosol
MAR08982	NAD+ [c] ⇔ NAD+ [m]		consume/produce	Transport reactions	Cytosol ⇔ Mitochondria
MAR09470	H+ [c] + L-sorbose [c] + NADH [c] ⇔ L-iditol [c] + NAD+ [c]	Sodh1; Sodh2	consume/produce	Isolated	Cytosol
MAR09487	(ADP-D-ribosyl)n+1-acceptor [c] + NAD+ [c] ⇔ (ADP-D-ribosyl)n-acceptor [c] + H+ [c] + nicotinamide [c]	Parp16; Parp; Tnks	consume/produce	Isolated	Cytosol
MAR09563	H2O [c] + NAD+ [c] + perillyl aldehyde [c] ⇒ 2 H+ [c] + NADH [c] + perillic acid [c]	Aldh-III; Aldh7A1; Aldh	consume	Isolated	Cytosol
MAR09934	NAD+ [c] + prostaglandin F2alpha [c] ⇔ 15-Keto-Prostaglandin F2A [c] + H+ [c] + NADH [c]	Pdh; CG4842	consume/produce	Eicosanoid metabolism	Cytosol
MAR09935	2-oxoadipate [c] + H+ [c] + NADH [c] ⇔ 2-Hydroxyadipic Acid [c] + NAD+ [c]		consume/produce	Lysine metabolism	Cytosol
MAR09936	NAD+ [c] + Phenyllactate [c] ⇔ H+ [c] + NADH [c] + phenylpyruvate [c]		consume/produce	Phenylalanine metabolism	Cytosol
MAR09992	D-Arabitol [c] + NAD+ [c] ⇔ H+ [c] + L-xylulose [c] + NADH [c]		consume/produce	Pentose phosphate pathway	Cytosol
MAR10064	0.0043 (S)-dihydroorotate [c] + 0.0014 2,3-bisphospho-D-glycerate [c] + 0.0022 3-phospho-D-glycerate [c] + 0.0025 3-phosphoserine [c] + 0.0033 ADP [c] + 0.0046 AKG [c] + 0.0002 AMP [c] + 0.0271 ATP [c] + 0.0052 CTP [c] + 0.0234 CoA [c] + 0.0094 DHAP [c] + 0.0008 GAP [c] + 0.0002 GDP [c] + 0.0001 GMP [c] + 0.0179 GSH [c] + 0.0001 GSSG [c] + 0.0039 GTP [c] + 0.0029 NAD+ [c] + 0.0004 NADH [c] + 0.0002 NADP+ [c] + 0.0004 NADPH [c] + 0.0008 UDP [c] + 0.052 UDP-N-acetylglucosamine [c] + 0.0088 UDP-glucose [c] + 0.0006 UDP-glucuronate [c] + 0.0102 UTP [c] + 0.0002 acetyl-CoA [c] + 0.0404 alanine [c] + 0.0015 arginine [c] + 0.0012 asparagine [c] + 0.0865 aspartate [c] + 0.0034 citrate [c] + 0.0005 cysteine [c] + 0.0001 dAMP [c] + 0.0002 dCMP [c] + 0.0088 fructose-1,6-bisphosphate [c] + 0.0006 fructose-6-phosphate [c] + 0.0028 fumarate [c] + 0.0039 glucose-6-phosphate [c] + 0.3694 glutamate [c] + 0.0998 glutamine [c] + 0.0215 glycine [c] + 0.0024 histidine [c] + 0.0002 isocitrate [c] + 0.0102 isoleucine [c] + 0.0102 leucine [c] + 0.0029 lysine [c] + 0.0081 malate [c] + 0.0037 methionine [c] + 0.0049 phenylalanine [c] + 0.0102 phenylpyruvate [c] + 0.0071 proline [c] + 0.034 pyruvate [c] + 0.0002 ribose-5-phosphate [c] + 0.0282 serine [c] + 0.0388 threonine [c] + 0.001 tryptophan [c] + 0.0054 tyrosine [c] + 0.0088 valine [c] ⇒ metabolite_pool_biomass [c]		consume	Artificial reactions	Cytosol
MAR10066	20alpha-hydroxy-4-pregnen-3-one [c] + NAD+ [c] ⇒ H+ [c] + NADH [c] + progesterone [c]	CG6083	consume	Steroid metabolism	Cytosol
MAR11462	H+ [c] + NADH [c] + fumarylacetoacetate [c] ⇒ NAD+ [c] + Succinyl-Acetoacetate [c]		produce	Tyrosine metabolism	Cytosol
MAR11463	4-maleylacetoacetate [c] + H+ [c] + NADH [c] ⇒ NAD+ [c] + Succinyl-Acetoacetate [c]		produce	Tyrosine metabolism	Cytosol
MAR11468	H+ [c] + NADH [c] + Vanilpyruvic Acid [c] ⇔ NAD+ [c] + Vanil-Lactate [c]		consume/produce	Tyrosine metabolism	Cytosol
MAR11476	2-oxo-3-methylvalerate [c] + H+ [c] + NADH [c] ⇔ 2-Hydroxy-3-Methyl-Valerate [c] + NAD+ [c]	Ldh	consume/produce	Valine, leucine, and isoleucine metabolism	Cytosol
MAR11479	3-methyl-2-oxobutyrate [c] + H+ [c] + NADH [c] ⇔ 2-Hydroxy-Isovalerate [c] + NAD+ [c]	Ldh	consume/produce	Valine, leucine, and isoleucine metabolism	Cytosol
MAR11489	2-Methyl-3-Oxo-Valerate [c] + H+ [c] + NADH [c] ⇔ 2-Methyl-3-Hydroxy-Valerate [c] + NAD+ [c]		consume/produce	Propanoate metabolism	Cytosol
MAR13003	H2O [c] + NAD+ [c] + UDP-glucuronate [c] ⇒ CO2 [c] + NADH [c] + udp-ribose [c]		consume	Drug metabolism	Cytosol
MAR13083	H+ [c] + NADH [c] + O2 [c] + hypotaurine [c] ⇒ H2O [c] + NAD+ [c] + taurine [c]	Fmo-2; Fmo-1	produce	Metabolism of other amino acids	Cytosol
MAR20014	H+ [c] + NADH [c] + O2 [c] + cholesterol [c] ⇒ 2 H2O [c] + NAD+ [c] + provitamin D3 [c]	nvd	produce	Hormone biosynthesis	Cytosol
MAR20017	AKG [c] + H+ [c] + NADH [c] + glutamine [c] ⇒ NAD+ [c] + 2 glutamate [c]	GS	produce	Alanine, aspartate and glutamate metabolism	Cytosol
